Bank,Year,Assets,NetProfit,NIC,ROA,Size,NIC_A,GDP,INF,EXC
Pasha Yatırım Bankası A.Ş.,2020,2179409.0,31376.0,4186.0,0.0143965634720238,14.594564297093344,0.0019207041909068,1.8030624719627,12.278957446257,7.0090301587302
Pasha Yatırım Bankası A.Ş.,2021,3562553.0,47125.0,10285.0,0.0132278733818135,15.08598798064136,0.0028869745937814,11.811094450408,19.596492691332,8.8853682730924
Pasha Yatırım Bankası A.Ş.,2022,6155855.0,203873.0,50434.0,0.0331185513628894,15.63291421940749,0.0081928505463497,5.4412251147839,72.308835989121,16.563770238095
Pasha Yatırım Bankası A.Ş.,2023,9910172.0,525002.0,98906.0,0.0529760734727913,16.109072262361405,0.0099802505950451,5.045123697229,53.859408759332,23.743790118577
Pasha Yatırım Bankası A.Ş.,2024,12913309.0,462873.0,82113.0,0.0358446467903772,16.373769042915985,0.00635878844067,3.3276230886148,58.506450730034,32.7921452
Q Yatırım Bankası A.Ş.,2023,1889794.0,150577.0,-10660.0,0.0796790549657793,14.451978386386475,-0.0056408264604501,5.045123697229,53.859408759332,23.743790118577
Q Yatırım Bankası A.Ş.,2024,3830855.0,47172.0,15605.0,0.0123137002053066,15.158598573840935,0.0040735031735735,3.3276230886148,58.506450730034,32.7921452
QNB Bank A.Ş.,2002,4926857.0,188426.0,116731.0,0.0382446659198754,15.4102118173582,0.0236927923826488,6.4355088481566,,1.5058395256917
QNB Bank A.Ş.,2003,5732029.0,153075.0,100031.0,0.0267052033407367,15.56158012723352,0.0174512375984141,5.7990932017934,,1.49306776
QNB Bank A.Ş.,2004,8630097.0,191560.0,189640.0,0.0221967377655199,15.970766302857394,0.0219742605442325,9.9254055215426,8.5982616811527,1.4223412301587
QNB Bank A.Ş.,2005,12314145.0,350441.0,295695.0,0.0284584110386876,16.326259159599168,0.0240126293786535,9.1115774633457,8.17916036802,1.3407909448819
QNB Bank A.Ş.,2006,17895459.0,740972.0,383642.0,0.0414055878644968,16.700057551476117,0.0214379524995698,7.0676260779544,9.5972421228844,1.4311067729084
QNB Bank A.Ş.,2007,20882311.0,552726.0,500549.0,0.0264686221750073,16.85441299493075,0.0239700002552399,5.1081851387958,8.7561809097264,1.3015083333333
QNB Bank A.Ş.,2008,26572978.0,362648.0,575346.0,0.013647247214821,17.09540539275005,0.0216515439105093,0.92011821604875,10.444128376489,1.2929075697211
QNB Bank A.Ş.,2009,29317630.0,650114.0,577417.0,0.0221748483762159,17.193699599519174,0.0196952141083709,-4.8826940134567,6.2509766309063,1.5470646825397
QNB Bank A.Ş.,2010,38087203.0,914674.0,593616.0,0.0240152578282001,17.455388904411762,0.0155857073568778,8.5421984780215,8.5664442055297,1.500364
QNB Bank A.Ş.,2011,46198873.0,848112.0,801279.0,0.018357850417693,17.648465961815038,0.0173441243902205,10.979962531414,6.471879671151,1.67
QNB Bank A.Ş.,2012,54401608.0,902346.0,1028813.0,0.0165867523621728,17.811904270212846,0.0189114446764147,4.8076269705277,8.8915699651216,1.7924972332016
QNB Bank A.Ş.,2013,66009767.0,734239.0,1031522.0,0.0111231872701504,18.005313273890508,0.0156268086812062,8.4882568867256,7.493090305477,1.9013088
QNB Bank A.Ş.,2014,75206354.0,877428.0,1333530.0,0.0116669397375652,18.135746280031444,0.0177316134751061,4.6007944759306,8.8545727136432,2.1878581673307
QNB Bank A.Ş.,2015,85727397.0,705772.0,1313835.0,0.0082327473444691,18.266683017427155,0.0153257306996035,5.8055738647945,7.6708536484588,2.7200162055336
QNB Bank A.Ş.,2016,101503054.0,1203410.0,1362603.0,0.0118558994293905,18.435599444663413,0.0134242561805086,3.323665083597,7.7751341532833,3.0212450199203
QNB Bank A.Ş.,2017,125857170.0,1603441.0,1685893.0,0.0127401641082506,18.650658250509135,0.013395287690006,7.825857301125,11.144311084076,3.6476845849802
QNB Bank A.Ş.,2018,157415735.0,2409829.0,2139885.0,0.0153086919805062,18.874400857184884,0.0135938443510745,3.4681530563351,16.332463898893,4.8134494023904
QNB Bank A.Ş.,2019,181680511.0,2622156.6386403,2691463.8026300003,0.0144327898694665,19.017760268395225,0.0148142681227377,1.3016236542392,15.176821572002,5.6708297188755
QNB Bank A.Ş.,2020,227253348.0,2487009.0,2362819.0,0.0109437727623709,19.241576023586603,0.0103972901644555,1.8030624719627,12.278957446257,7.0090301587302
QNB Bank A.Ş.,2021,371369241.0,3928114.0,3391172.0,0.0105773811245719,19.732707384390185,0.0091315370946405,11.811094450408,19.596492691332,8.8853682730924
QNB Bank A.Ş.,2022,601755176.0,17223766.0,6128001.0,0.028622547319809,20.21536123616919,0.0101835451432826,5.4412251147839,72.308835989121,16.563770238095
QNB Bank A.Ş.,2023,987816567.0,33172442.0,18317334.0,0.033581580941434,20.71100757754384,0.0185432544987879,5.045123697229,53.859408759332,23.743790118577
QNB Bank A.Ş.,2024,1511869768.0,36174341.0,49642031.0,0.0239268895811401,21.136612978719025,0.0328348592257848,3.3276230886148,58.506450730034,32.7921452
Rabobank A.Ş.,2014,783228.0,19177.0,-222.0,0.0244845689888512,13.571179120325482,-0.0002834423692717,4.6007944759306,8.8545727136432,2.1878581673307
